2,wavelength,frequency,flux,Hcont (erg/cm^2/s/Hz/ster),Hnu/Hcont
1,9.09,3.30E+16,1.00E-50,0,1
2,9.35,3.21E+16,1.00E-50,0,1
3,9.61,3.12E+16,1.00E-50,0,1
4,9.77,3.07E+16,1.00E-50,0,1
5,9.96,3.01E+16,1.00E-50,0,1
6,10.2,2.94E+16,1.00E-50,0,1
7,10.38,2.89E+16,1.00E-50,0,1
8,10.56,2.84E+16,1.00E-50,0,1
9,10.77,2.78E+16,1.00E-50,0,1
10,11.04,2.72E+16,1.00E-50,0,1
11,11.4,2.63E+16,1.00E-50,0,1
12,11.78,2.54E+16,1.00E-50,0,1
13,12.13,2.47E+16,1.00E-50,0,1
14,12.48,2.40E+16,1.00E-50,0,1
15,12.71,2.36E+16,1.00E-50,0,1
16,12.84,2.33E+16,1.00E-50,0,1
17,13.05,2.30E+16,1.00E-50,0,1
18,13.24,2.26E+16,1.00E-50,0,1
19,13.39,2.24E+16,1.00E-50,0,1
20,13.66,2.19E+16,1.00E-50,0,1
21,13.98,2.14E+16,1.00E-50,0,1
22,14.33,2.09E+16,1.00E-50,0,1
23,14.72,2.04E+16,1.00E-50,0,1
24,15.1,1.99E+16,1.00E-50,0,1
25,15.52,1.93E+16,1.00E-50,0,1
26,15.88,1.89E+16,1.00E-50,0,1
27,16.2,1.85E+16,1.00E-50,0,1
28,16.6,1.81E+16,1.00E-50,0,1
29,17.03,1.76E+16,1.00E-50,0,1
30,17.34,1.73E+16,1.00E-50,0,1
31,17.68,1.70E+16,1.00E-50,0,1
32,18.02,1.66E+16,1.00E-50,0,1
33,18.17,1.65E+16,1.00E-50,0,1
34,18.61,1.61E+16,1.00E-50,0,1
35,19.1,1.57E+16,1.00E-50,0,1
36,19.39,1.55E+16,1.00E-50,0,1
37,19.84,1.51E+16,1.00E-50,0,1
38,20.18,1.49E+16,1.00E-50,0,1
39,20.5,1.46E+16,1.00E-50,0,1
40,21.05,1.42E+16,1.00E-50,0,1
41,21.62,1.39E+16,1.00E-50,0,1
42,21.98,1.36E+16,1.00E-50,0,1
43,22.3,1.34E+16,1.00E-50,0,1
44,22.68,1.32E+16,1.00E-50,0,1
45,23,1.30E+16,1.00E-50,0,1
46,23.4,1.28E+16,1.00E-50,0,1
47,24,1.25E+16,1.00E-50,0,1
48,24.65,1.22E+16,1.00E-50,0,1
49,25.24,1.19E+16,1.00E-50,0,1
50,25.68,1.17E+16,1.00E-50,0,1
51,26,1.15E+16,1.00E-50,0,1
52,26.4,1.14E+16,1.00E-50,0,1
53,26.85,1.12E+16,1.00E-50,0,1
54,27.35,1.10E+16,1.00E-50,0,1
55,27.85,1.08E+16,1.00E-50,0,1
56,28.4,1.06E+16,1.00E-50,0,1
57,29,1.03E+16,1.00E-50,0,1
58,29.6,1.01E+16,1.00E-50,0,1
59,30.1,9.95988E+15,1.00E-50,0,1
60,30.8,9.73352E+15,1.00E-50,0,1
61,31.8,9.42744E+15,1.00E-50,0,1
62,32.8,9.14002E+15,1.00E-50,0,1
63,33.8,8.8696E+15,1.46E-37,1.46E-37,0.99999
64,34.8,8.61473E+15,1.71E-36,1.71E-36,0.99999
65,35.7,8.39755E+15,1.28E-35,1.28E-35,0.99999
66,36.6,8.19105E+15,8.66E-35,8.66E-35,1
67,37.5,7.99447E+15,5.32E-34,5.32E-34,0.99999
68,38.5,7.78682E+15,3.62E-33,3.62E-33,0.99999
69,39.5,7.58968E+15,2.23E-32,2.23E-32,0.99999
70,40.5,7.40228E+15,1.26E-31,1.26E-31,1
71,41.4,7.24137E+15,5.54E-31,5.54E-31,1
72,42.2,7.10409E+15,1.96E-30,1.96E-30,1
73,43,6.97192E+15,6.61E-30,6.61E-30,0.99997
74,44.1,6.79802E+15,3.27E-29,3.27E-29,1
75,45.1,6.64728E+15,1.31E-28,1.31E-28,1
76,46,6.51723E+15,4.32E-28,4.32E-28,1
77,47,6.37856E+15,1.54E-27,1.54E-27,0.99999
78,48,6.24568E+15,5.21E-27,5.21E-27,1
79,49,6.11821E+15,1.67E-26,1.67E-26,1
80,50,5.99585E+15,5.13E-26,5.13E-26,1
81,50.6,5.92475E+15,1.05E-25,1.08E-25,0.97056
82,51.2,5.85532E+15,2.02E-25,2.03E-25,0.9976
83,52,5.76524E+15,4.59E-25,4.60E-25,0.99788
84,53,5.65646E+15,1.23E-24,1.23E-24,0.99995
85,54,5.55171E+15,3.19E-24,3.19E-24,0.99846
86,55,5.45077E+15,7.97E-24,7.97E-24,0.99997
87,56,5.35344E+15,1.93E-23,1.93E-23,0.99999
88,57,5.25952E+15,4.51E-23,4.51E-23,1
89,58,5.16884E+15,1.02E-22,1.02E-22,0.99829
90,59,5.08123E+15,2.26E-22,2.26E-22,0.99998
91,60,4.99654E+15,4.85E-22,4.85E-22,0.99998
92,61,4.91463E+15,1.02E-21,1.02E-21,1
93,62,4.83536E+15,2.07E-21,2.07E-21,0.99999
94,63,4.75861E+15,4.14E-21,4.14E-21,0.99999
95,64,4.68426E+15,8.08E-21,8.08E-21,0.99998
96,65,4.61219E+15,1.54E-20,1.54E-20,1
97,65.8,4.55612E+15,2.56E-20,2.56E-20,1
98,66.5,4.50816E+15,3.93E-20,3.93E-20,0.99999
99,67.5,4.44137E+15,7.16E-20,7.16E-20,0.99999
100,68.5,4.37653E+15,1.28E-19,1.28E-19,0.99998
101,69.5,4.31356E+15,2.25E-19,2.25E-19,1
102,70.5,4.25238E+15,3.88E-19,3.88E-19,0.99995
103,71.6,4.18705E+15,6.96E-19,6.96E-19,1
104,72.6,4.12937E+15,1.16E-18,1.16E-18,1
105,73.5,4.07881E+15,1.83E-18,1.83E-18,1
106,74.5,4.02406E+15,2.98E-18,2.98E-18,0.99999
107,75.5,3.97076E+15,4.78E-18,4.78E-18,0.99999
108,76.5,3.91886E+15,7.59E-18,7.59E-18,0.99999
109,77.5,3.86829E+15,1.19E-17,1.19E-17,0.99999
110,78.5,3.81901E+15,1.84E-17,1.84E-17,1
