Angstrom,magn,wavelength
1000,15.393,100
1010,15.037876,101
1020,14.698609,102
1030,14.374266,103
1040,14.064038,104
1050,13.767213,105
1060,13.483156,106
1070,13.21129,107
1080,12.951088,108
1090,12.702058,109
1100,12.463739,110
1110,12.235695,111
1120,12.017508,112
1130,11.808777,113
1140,11.609116,114
1150,11.41815,115
1160,11.235517,116
1170,11.060864,117
1180,10.893849,118
1190,10.73414,119
1200,10.581415,120
1210,10.435363,121
1220,10.295681,122
1230,10.162078,123
1240,10.034273,124
1250,9.911996,125
1260,9.794988,126
1270,9.683,127
1280,9.575794,128
1290,9.473144,129
1300,9.374833,130
1310,9.280657,131
1320,9.190421,132
1330,9.103942,133
1340,9.021046,134
1350,8.941571,135
1360,8.865365,136
1370,8.792283,137
1380,8.722193,138
1390,8.65497,139
1400,8.590499,140
1410,8.528674,141
1420,8.469397,142
1430,8.412576,143
1440,8.35813,144
1450,8.305983,145
1460,8.256068,146
1470,8.208322,147
1480,8.162691,148
1490,8.119125,149
1500,8.077582,150
1510,8.038022,151
1520,8.000413,152
1530,7.964726,153
1540,7.930939,154
1550,7.899031,155
1560,7.868987,156
1570,7.840794,157
1580,7.814445,158
1590,7.789933,159
1600,7.767257,160
1610,7.746416,161
1620,7.727413,162
1630,7.710252,163
1640,7.694941,164
1650,7.681488,165
1660,7.669904,166
1670,7.660201,167
1680,7.652392,168
1690,7.646491,169
1700,7.642514,170
1710,7.640477,171
1720,7.640398,172
1730,7.642294,173
1740,7.646183,174
1750,7.652086,175
1760,7.660019,176
1770,7.670004,177
1780,7.682059,178
1790,7.696205,179
1800,7.71246,180
1810,7.730844,181
1820,7.751377,182
1830,7.774077,183
1840,7.798965,184
1850,7.826057,185
1860,7.855373,186
1870,7.88693,187
1880,7.920746,188
1890,7.956837,189
1900,7.995221,190
1910,8.035912,191
1920,8.078927,192
1930,8.124279,193
1940,8.171983,194
1950,8.222053,195
1960,8.274501,196
1970,8.32934,197
1980,8.386581,198
1990,8.446235,199
2000,8.557813,200
2010,8.63346,201
2020,8.709857,202
2030,8.787885,203
2040,8.86758,204
2050,8.948356,205
2060,9.029186,206
2070,9.108762,207
2080,9.185617,208
2090,9.258233,209
2100,9.32512,210
2110,9.384882,211
2120,9.436267,212
2130,9.478202,213
2140,9.509816,214
2150,9.530455,215
2160,9.539688,216
2170,9.537307,217
2180,9.523316,218
2190,9.497926,219
2200,9.461532,220
2210,9.4147,221
2220,9.358144,222
2230,9.292702,223
2240,9.219313,224
2250,9.138993,225
2260,9.052809,226
2270,8.961851,227
2280,8.867212,228
2290,8.769959,229
2300,8.671112,230
2310,8.571618,231
2320,8.472329,232
2330,8.373985,233
2340,8.277188,234
2350,8.182386,235
2360,8.089856,236
2370,7.999686,237
2380,7.911762,238
2390,7.81518,239
2400,7.728934,240
2410,7.646637,241
2420,7.568049,242
2430,7.492949,243
2440,7.421128,244
2450,7.35239,245
2460,7.286551,246
2470,7.22344,247
2480,7.162895,248
2490,7.104766,249
2500,7.048911,250
2510,6.995198,251
2520,6.943503,252
2530,6.893708,253
2540,6.845706,254
2550,6.799393,255
2560,6.754674,256
2570,6.71146,257
2580,6.669666,258
2590,6.629213,259
2600,6.590027,260
2610,6.552039,261
2620,6.515185,262
2630,6.479403,263
2640,6.444636,264
2650,6.410831,265
2660,6.377938,266
2670,6.34591,267
2680,6.314702,268
2690,6.284274,269
2700,6.254586,270
2710,6.225603,271
2720,6.197289,272
2730,6.169614,273
2740,6.142547,274
2750,6.11606,275
2760,6.090127,276
2770,6.064723,277
2780,6.039823,278
2790,6.015408,279
2800,5.991455,280
2810,5.967946,281
2820,5.944862,282
2830,5.922186,283
2840,5.899902,284
2850,5.877996,285
2860,5.856452,286
2870,5.835257,287
2880,5.814398,288
2890,5.793864,289
2900,5.773643,290
2910,5.753725,291
2920,5.734099,292
2930,5.714755,293
2940,5.695686,294
2950,5.676881,295
2960,5.658334,296
2970,5.640036,297
2980,5.621979,298
2990,5.604158,299
3000,5.586565,300
3010,5.569195,301
3020,5.55204,302
3030,5.535095,303
3040,5.518355,304
3050,5.501815,305
3060,5.485469,306
3070,5.469313,307
3080,5.453342,308
3090,5.437552,309
3100,5.421937,310
3110,5.406495,311
3120,5.391221,312
3130,5.376111,313
3140,5.361162,314
3150,5.346369,315
3160,5.33173,316
3170,5.317241,317
3180,5.302899,318
3190,5.288701,319
3200,5.274643,320
3210,5.260723,321
3220,5.246937,322
3230,5.233282,323
3240,5.219757,324
3250,5.206357,325
3260,5.193081,326
3270,5.179926,327
3280,5.166889,328
3290,5.153968,329
3300,5.141159,330
3310,5.128462,331
3320,5.115873,332
3330,5.103389,333
3340,5.09101,334
3350,5.078731,335
3360,5.066552,336
3370,5.05447,337
3380,5.042483,338
3390,5.030588,339
3400,5.018784,340
3410,5.007068,341
3420,4.995439,342
3430,4.983894,343
3440,4.972431,344
3450,4.961049,345
3460,4.949745,346
3470,4.938518,347
3480,4.927366,348
3490,4.916286,349
3500,4.905277,350
3510,4.894337,351
3520,4.883465,352
3530,4.872658,353
3540,4.861915,354
3550,4.851234,355
3560,4.840614,356
3570,4.830052,357
3580,4.819547,358
3590,4.809098,359
3600,4.798702,360
3610,4.788358,361
3620,4.778065,362
3630,4.767821,363
3640,4.757625,364
3650,4.747474,365
3660,4.737368,366
3670,4.727306,367
3680,4.717284,368
3690,4.707303,369
3700,4.69736,370
3710,4.687455,371
3720,4.677586,372
3730,4.667751,373
3740,4.65795,374
3750,4.648181,375
3760,4.638442,376
3770,4.628733,377
3780,4.619052,378
3790,4.609398,379
3800,4.599769,380
3810,4.590165,381
3820,4.580585,382
3830,4.571027,383
3840,4.56149,384
3850,4.551973,385
3860,4.542474,386
3870,4.532994,387
3880,4.52353,388
3890,4.514082,389
3900,4.504649,390
3910,4.49523,391
3920,4.485823,392
3930,4.476428,393
3940,4.467044,394
3950,4.45767,395
3960,4.448305,396
3970,4.438948,397
3980,4.429598,398
3990,4.420254,399
4000,4.396126,400
4010,4.388326,401
4020,4.38052,402
4030,4.372704,403
4040,4.364872,404
4050,4.357019,405
4060,4.349143,406
4070,4.34124,407
4080,4.333305,408
4090,4.325337,409
4100,4.317332,410
4110,4.309288,411
4120,4.301203,412
4130,4.293075,413
4140,4.284903,414
4150,4.276685,415
4160,4.26842,416
4170,4.260106,417
